"Day_0" "Day_2" "Day_17"
"TRINITY_DN5493_c0_g1_i8" 0 0.399283 1.37824
"TRINITY_DN5493_c0_g1_i9" 0 0 0
"TRINITY_DN5493_c1_g1_i2" 0 0.234552 0
"TRINITY_DN5461_c1_g1_i1" 19.7521 38.4253 0
"TRINITY_DN5461_c0_g4_i1" 0.287984 0.825507 0
"TRINITY_DN5461_c0_g2_i1" 0 0 0
"TRINITY_DN5461_c0_g2_i2" 1.58141 1.98928 2.18443
"TRINITY_DN5461_c0_g2_i3" 0 0 0
"TRINITY_DN5461_c0_g3_i1" 0 0 0
"TRINITY_DN5461_c0_g1_i2" 2.10519 4.32987 0
"TRINITY_DN5461_c0_g1_i4" 23.7685 23.3089 0
"TRINITY_DN5461_c0_g1_i6" 0.28901 0 0
"TRINITY_DN5471_c4_g1_i1" 0 0 0
"TRINITY_DN5471_c4_g1_i2" 0 0 2.00585
"TRINITY_DN5471_c4_g3_i1" 0.984064 0.5378 3.10113
"TRINITY_DN5471_c2_g1_i1" 14.1011 22.7282 11.972
"TRINITY_DN5471_c1_g2_i1" 0 0.770516 0
"TRINITY_DN5471_c0_g1_i1" 0 0.184622 0
"TRINITY_DN5471_c4_g2_i1" 0 0 0
"TRINITY_DN5471_c4_g2_i2" 0 0 0
"TRINITY_DN5471_c4_g2_i3" 0 0.104511 0
"TRINITY_DN5471_c1_g1_i1" 0 0 0
"TRINITY_DN5440_c0_g1_i1" 0.464873 0.513677 0
"TRINITY_DN5462_c0_g1_i1" 53.227 69.9204 0.0684218
"TRINITY_DN5423_c0_g1_i1" 1.49614e-09 0 0
"TRINITY_DN5423_c0_g1_i2" 0 0.671045 0
"TRINITY_DN5423_c0_g1_i5" 0.145733 0 0
"TRINITY_DN5439_c0_g1_i1" 0 0 0
"TRINITY_DN5439_c0_g1_i2" 0 0 0
"TRINITY_DN5439_c0_g1_i3" 5.02554 2.23494 0
"TRINITY_DN5439_c0_g1_i5" 1.12185 1.61768 0
"TRINITY_DN5439_c0_g1_i7" 0.746718 0 0
"TRINITY_DN5439_c0_g1_i8" 0 0 2.73226
"TRINITY_DN5436_c1_g1_i1" 0.916532 1.49516 0
"TRINITY_DN5403_c4_g1_i1" 0.30546 0 0
"TRINITY_DN5403_c0_g1_i1" 96.3023 94.6752 0.180796
"TRINITY_DN5403_c0_g1_i2" 0 0.741293 1.25949
"TRINITY_DN5403_c0_g1_i3" 0.122442 0 0
"TRINITY_DN5403_c0_g1_i5" 0 0 0
"TRINITY_DN5499_c0_g1_i1" 0 0.112649 0
"TRINITY_DN5499_c0_g1_i2" 0.0879191 0 0
"TRINITY_DN5499_c0_g1_i3" 0 0.135511 0
"TRINITY_DN5412_c0_g1_i1" 1.07312 0.646349 1.35548
"TRINITY_DN5435_c0_g1_i1" 1.85129 2.41564 0
"TRINITY_DN5484_c0_g1_i10" 0 0 0
"TRINITY_DN5484_c0_g1_i11" 0 0 1.61628
"TRINITY_DN5484_c0_g1_i12" 0 0 5.04235
"TRINITY_DN5484_c0_g1_i4" 0 0.239677 0
"TRINITY_DN5484_c0_g1_i5" 0 0.0821272 0
"TRINITY_DN5484_c0_g1_i6" 0 0 0
"TRINITY_DN5484_c0_g1_i7" 0 0 0
"TRINITY_DN5484_c0_g1_i9" 0 0 1.35197
"TRINITY_DN5426_c0_g1_i1" 1.18825 2.51087 0
"TRINITY_DN5477_c0_g1_i1" 0 0.0508785 0
"TRINITY_DN5477_c0_g1_i2" 0 0.446057 5.03502
"TRINITY_DN5477_c0_g1_i3" 0.390082 3.45333 7.46892
"TRINITY_DN5477_c0_g1_i5" 0 0.206057 0
"TRINITY_DN5477_c0_g1_i6" 0 3.82361 1.09517
"TRINITY_DN5477_c0_g1_i7" 0.309056 1.04694 0
"TRINITY_DN5477_c0_g1_i9" 1.09475 10.1912 0
"TRINITY_DN5444_c0_g1_i1" 0 0.0576706 0
"TRINITY_DN5444_c0_g1_i11" 16.9572 142.72 246.624
"TRINITY_DN5444_c0_g1_i2" 0 0 0
"TRINITY_DN5444_c0_g1_i3" 0 2.05464 5.87583
"TRINITY_DN5444_c0_g1_i4" 0 0 0
"TRINITY_DN5444_c0_g1_i5" 0 0 0
"TRINITY_DN5444_c0_g1_i6" 0.239699 0 0.606837
"TRINITY_DN5444_c0_g1_i8" 0 0 0
"TRINITY_DN5444_c0_g2_i1" 0.28321 6.59636 2.95766
"TRINITY_DN5444_c0_g3_i1" 0 0 0
"TRINITY_DN5444_c0_g3_i2" 0.128604 0.139769 5.24471
"TRINITY_DN5451_c0_g1_i1" 13.2618 25.6914 0
"TRINITY_DN35884_c0_g1_i1" 0 0.408256 0
"TRINITY_DN35878_c0_g1_i1" 0 0 0
"TRINITY_DN35885_c0_g1_i1" 0 0 0
"TRINITY_DN35942_c0_g1_i1" 0 0 0
"TRINITY_DN35911_c0_g1_i1" 14.4572 31.3817 0
"TRINITY_DN35909_c0_g1_i1" 0 0 0
"TRINITY_DN35951_c0_g1_i1" 0 0 0.107057
"TRINITY_DN35946_c0_g1_i1" 12.2479 10.7185 0
"TRINITY_DN35961_c0_g1_i1" 0 0 0
"TRINITY_DN35906_c0_g1_i1" 0 0.942457 0
"TRINITY_DN35973_c0_g1_i1" 0 0 0
"TRINITY_DN35930_c0_g1_i1" 0 0.137529 0
"TRINITY_DN35966_c0_g1_i1" 0.636868 0 0
"TRINITY_DN35967_c0_g1_i1" 0 0.898097 1.22702
"TRINITY_DN35904_c0_g1_i1" 0 0 0
"TRINITY_DN35901_c0_g1_i1" 0 0 0
"TRINITY_DN35894_c0_g1_i1" 0 0 1.44717
"TRINITY_DN35924_c0_g1_i1" 0 0 0
"TRINITY_DN35905_c0_g1_i3" 0.133024 0.121227 0
"TRINITY_DN35905_c0_g1_i4" 0 0 0
"TRINITY_DN35905_c0_g1_i5" 0 0 0
"TRINITY_DN35905_c0_g1_i7" 0 0.312303 0
"TRINITY_DN35958_c0_g1_i1" 0 0 0
"TRINITY_DN35893_c0_g1_i1" 119.849 214.856 0.107766
"TRINITY_DN35922_c0_g1_i1" 0 0 0
"TRINITY_DN35968_c0_g1_i1" 0 0 0
"TRINITY_DN35968_c0_g1_i2" 0 0 0
"TRINITY_DN35962_c0_g1_i1" 0 0 0
"TRINITY_DN35919_c0_g1_i1" 0.276618 0 0
"TRINITY_DN35940_c0_g1_i1" 7.65598 18.1496 0.108068
"TRINITY_DN35959_c0_g1_i1" 0 0 0
"TRINITY_DN35954_c0_g1_i1" 0 0 0
"TRINITY_DN35929_c0_g1_i1" 0 0 0
"TRINITY_DN35926_c0_g1_i1" 0 0 0
"TRINITY_DN35876_c0_g1_i1" 0 0.27402 0
"TRINITY_DN35974_c0_g1_i1" 0 0 0
"TRINITY_DN35900_c0_g1_i1" 0.28321 0 15.0572
"TRINITY_DN35890_c0_g1_i1" 0.800742 2.17678 0
"TRINITY_DN35881_c0_g1_i1" 0.202779 0.607294 0
"TRINITY_DN35908_c0_g1_i1" 0 4.5445 0
"TRINITY_DN35949_c0_g1_i1" 0 0 0
"TRINITY_DN35897_c0_g1_i1" 0.263568 0 0
"TRINITY_DN35937_c0_g1_i1" 0.123925 0.134739 0
"TRINITY_DN35927_c0_g1_i1" 0 0 0
"TRINITY_DN35913_c0_g1_i1" 0 0 0
"TRINITY_DN35934_c0_g1_i1" 0.106711 0.116056 0.05809
"TRINITY_DN35891_c0_g1_i1" 0.277055 0 0
"TRINITY_DN35955_c0_g1_i1" 2.2419 0.943444 0
"TRINITY_DN35917_c0_g1_i1" 0 0 0.270735
"TRINITY_DN35896_c0_g1_i1" 0.242024 0 0
"TRINITY_DN35935_c0_g1_i1" 0 0 0.077373
"TRINITY_DN35880_c0_g1_i1" 0.274958 0 0
"TRINITY_DN35918_c0_g1_i1" 0.413949 0.337485 0
"TRINITY_DN35969_c1_g1_i1" 1.54349 0.327811 0
"TRINITY_DN35902_c0_g1_i1" 0 0 0
"TRINITY_DN35947_c0_g1_i1" 0 0 0
"TRINITY_DN35882_c0_g1_i1" 0 0.169963 0
"TRINITY_DN35939_c0_g1_i1" 0 0 12.3054
"TRINITY_DN35925_c0_g1_i1" 0.439854 0.670562 0.209584
"TRINITY_DN35915_c0_g1_i1" 0 0 0
"TRINITY_DN35943_c0_g1_i1" 0 0 0
"TRINITY_DN35912_c0_g1_i1" 0 0 0
"TRINITY_DN35916_c0_g1_i1" 1.80731 1.53917 0.0444593
"TRINITY_DN35931_c0_g1_i1" 0 0.223181 0
"TRINITY_DN35920_c0_g1_i1" 0.116851 0 0
"TRINITY_DN35920_c0_g1_i3" 0 0 0
"TRINITY_DN35879_c0_g1_i1" 0 0 5.08625
"TRINITY_DN35970_c0_g1_i1" 8.48916 3.07493 0
"TRINITY_DN35945_c0_g1_i1" 0 0.538955 0.0660248
"TRINITY_DN35944_c0_g1_i1" 0 0 0
"TRINITY_DN35887_c0_g2_i1" 0.713465 4.19199 0
"TRINITY_DN35953_c0_g1_i1" 0 0 0
"TRINITY_DN35960_c0_g1_i1" 0 0 0
"TRINITY_DN35923_c0_g1_i1" 1.97333 0.899258 0
"TRINITY_DN35963_c0_g1_i1" 0 0 0
"TRINITY_DN35941_c0_g1_i1" 0 0 0
"TRINITY_DN35965_c0_g1_i1" 66.2888 70.4842 0
"TRINITY_DN35972_c0_g1_i1" 1.20743 4.74068 0
"TRINITY_DN35971_c0_g1_i1" 0.286882 2.26368 0
"TRINITY_DN35957_c0_g1_i1" 0 0 0
"TRINITY_DN35892_c0_g1_i1" 0 0 0
"TRINITY_DN35892_c0_g1_i2" 0 0 0
"TRINITY_DN35892_c0_g1_i3" 0.579502 0 0
"TRINITY_DN35892_c0_g1_i4" 0.284303 0 0
"TRINITY_DN35892_c0_g1_i6" 0 0 0
"TRINITY_DN35903_c0_g1_i1" 0.498087 0 0
"TRINITY_DN35889_c0_g1_i1" 0.121755 0.132045 0
"TRINITY_DN35910_c0_g1_i1" 3.02558 0 0
"TRINITY_DN35898_c0_g1_i1" 0.335315 0 0
"TRINITY_DN35933_c0_g1_i1" 0.38873 0 50.5344
"TRINITY_DN35875_c0_g1_i1" 0 0.169089 0
"TRINITY_DN35964_c0_g1_i1" 0 0 0
"TRINITY_DN35964_c0_g1_i2" 0 0 0
"TRINITY_DN26779_c0_g1_i1" 0 0 0
"TRINITY_DN26817_c0_g1_i1" 0.0908047 0 0
"TRINITY_DN26813_c0_g1_i1" 0 0 0
"TRINITY_DN26822_c0_g1_i1" 0 0.963039 0
"TRINITY_DN26790_c0_g1_i1" 0.144469 0 0
"TRINITY_DN26825_c0_g1_i1" 0 0 0
"TRINITY_DN26774_c0_g1_i1" 0 0 0
"TRINITY_DN26815_c0_g1_i1" 205.556 157.465 0.117934
"TRINITY_DN26775_c0_g1_i1" 0 0.754676 0
"TRINITY_DN26788_c0_g1_i1" 0.296834 1.0333 3.94983
"TRINITY_DN26852_c0_g1_i1" 0 0 0
"TRINITY_DN26820_c0_g1_i1" 0 0 5.7171
"TRINITY_DN26762_c0_g1_i1" 1.33582 0.295738 0.127651
"TRINITY_DN26849_c0_g1_i1" 0 0 0
"TRINITY_DN26853_c0_g1_i1" 0.0666871 0.0154602 0
"TRINITY_DN26853_c0_g1_i2" 0 0.220749 0
"TRINITY_DN26853_c0_g1_i3" 0 0 0
"TRINITY_DN26806_c0_g1_i1" 5.54657 0 0
"TRINITY_DN26769_c0_g1_i1" 0 0 0
"TRINITY_DN26794_c0_g1_i1" 0 1.3663 0
"TRINITY_DN26837_c0_g1_i1" 0 0.155787 0
"TRINITY_DN26837_c0_g1_i4" 0 0 0
"TRINITY_DN26837_c0_g1_i6" 0 0 0
"TRINITY_DN26843_c0_g1_i1" 0 0.452035 0
"TRINITY_DN26835_c0_g1_i1" 0.221903 0.482728 0.060077
"TRINITY_DN26782_c0_g1_i1" 45.2109 45.147 0.1348
"TRINITY_DN26807_c0_g1_i1" 0 0 0
"TRINITY_DN26841_c0_g1_i1" 0 0.551273 0
"TRINITY_DN26824_c0_g1_i1" 0 0.315224 0.0826427
"TRINITY_DN26792_c0_g1_i1" 0 0 0
"TRINITY_DN26792_c0_g1_i2" 0 0 0
"TRINITY_DN26792_c0_g1_i3" 0 0 0
"TRINITY_DN26811_c0_g1_i1" 0 0 0
"TRINITY_DN26811_c0_g1_i2" 0 0 0
"TRINITY_DN26811_c0_g1_i3" 0 0 0
"TRINITY_DN26855_c0_g1_i1" 5.48105 0 0
"TRINITY_DN26772_c0_g1_i1" 0 0 0
"TRINITY_DN26842_c0_g1_i1" 2.09935 1.81554 0
"TRINITY_DN26842_c0_g1_i2" 1.11814 0.903551 0
"TRINITY_DN26804_c0_g1_i1" 2.03555 2.752 0
"TRINITY_DN26800_c0_g1_i1" 0.0586524 0.383259 0
"TRINITY_DN26780_c0_g1_i1" 0 0 0
"TRINITY_DN26799_c0_g1_i1" 0 0.16583 0
"TRINITY_DN26856_c0_g1_i1" 0 0 0.96683
"TRINITY_DN26777_c0_g1_i1" 0 0 0
"TRINITY_DN26834_c0_g1_i1" 0.119839 0.0558838 0
"TRINITY_DN26819_c0_g1_i1" 0 0 0
"TRINITY_DN26839_c0_g1_i1" 1.85015 2.22748 0
"TRINITY_DN26765_c0_g1_i1" 48.9303 52.2481 0
"TRINITY_DN26768_c0_g1_i1" 0 0 0.984781
"TRINITY_DN26851_c0_g1_i1" 0.250411 6.37481 0
"TRINITY_DN26836_c0_g1_i1" 0 0 0
"TRINITY_DN26801_c0_g1_i1" 0 0 0.0984781
"TRINITY_DN26797_c0_g1_i1" 0 0 0
"TRINITY_DN26860_c0_g1_i1" 0 0 0
"TRINITY_DN26802_c0_g1_i1" 0 0.189578 0
"TRINITY_DN26823_c0_g1_i1" 0 0 0
"TRINITY_DN26805_c0_g1_i1" 0.0916301 0.199428 0
"TRINITY_DN26838_c0_g1_i1" 0 0 9.74004
"TRINITY_DN26803_c0_g1_i1" 0 0 0
"TRINITY_DN26791_c1_g1_i1" 4.05423 5.21232 0
"TRINITY_DN26830_c0_g1_i1" 8.44831 7.81261 0
"TRINITY_DN26828_c0_g1_i1" 0 0 0
"TRINITY_DN26828_c0_g1_i2" 1.07331 1.48408 0
"TRINITY_DN26784_c0_g1_i1" 0 0 0
"TRINITY_DN26787_c0_g1_i1" 0 0.0970316 0
"TRINITY_DN26787_c0_g1_i2" 0 0.242893 0
"TRINITY_DN26795_c0_g1_i1" 0 0 0
"TRINITY_DN26840_c0_g1_i1" 0 0 0
"TRINITY_DN26776_c0_g1_i1" 0 0.649471 0.138119
"TRINITY_DN26858_c0_g1_i1" 0 0 0
"TRINITY_DN26832_c0_g1_i1" 0 0 0
"TRINITY_DN26832_c0_g1_i2" 0 0 0
"TRINITY_DN26829_c0_g1_i1" 1.56512 1.48146 0
"TRINITY_DN26767_c0_g1_i1" 0 0 0
"TRINITY_DN26793_c0_g1_i1" 0.511684 1.49314 0
"TRINITY_DN26846_c0_g1_i1" 0.435952 0.480802 0.107057
"TRINITY_DN26821_c0_g1_i1" 0 0 0.13266
"TRINITY_DN26833_c0_g1_i1" 0 0 0
"TRINITY_DN26764_c0_g1_i1" 55.0183 249.605 3.86845
"TRINITY_DN26859_c0_g1_i1" 0 0 0.108246
"TRINITY_DN26850_c0_g1_i1" 0 0.117718 0
"TRINITY_DN26761_c0_g1_i1" 1.03412 0.0750527 0
"TRINITY_DN26826_c0_g1_i1" 0.257974 0 0
"TRINITY_DN26773_c0_g1_i1" 0.258307 1.40337 0.068354
"TRINITY_DN26808_c0_g1_i1" 0 0 0.39798
"TRINITY_DN26763_c0_g1_i1" 0 0.149035 0.0719088
"TRINITY_DN26783_c0_g1_i1" 0 0 0
"TRINITY_DN26781_c0_g1_i1" 0 0 0
"TRINITY_DN26847_c0_g1_i1" 0 0 0
"TRINITY_DN26786_c0_g1_i1" 0 0 0
"TRINITY_DN26854_c0_g1_i1" 0 0 0.0886906
"TRINITY_DN26812_c0_g1_i1" 2.4568 4.49432 0
"TRINITY_DN26770_c0_g1_i1" 0 0.242551 0
"TRINITY_DN26827_c0_g1_i1" 0 0 0.120744
"TRINITY_DN10448_c0_g1_i1" 0.113853 0 0
"TRINITY_DN10436_c0_g1_i1" 9.28707 19.7786 0
"TRINITY_DN10447_c0_g1_i1" 0.809881 0.987471 0
"TRINITY_DN10492_c0_g1_i1" 7.94223 8.10225 0
"TRINITY_DN10455_c0_g1_i1" 12.1614 17.7386 0
"TRINITY_DN10476_c0_g2_i1" 0 11.6368 0
"TRINITY_DN10476_c1_g3_i1" 11.7326 6.20033 0
"TRINITY_DN10476_c1_g3_i2" 0 0 0
"TRINITY_DN10476_c2_g1_i1" 4.63033 5.98593 0
"TRINITY_DN10476_c1_g1_i1" 0 0.927869 0
"TRINITY_DN10476_c1_g2_i1" 7.49996 1.63874 0
"TRINITY_DN10476_c0_g1_i1" 0 0.40156 0.0959827
"TRINITY_DN10476_c0_g1_i2" 0.000606667 0 0.00889424
"TRINITY_DN10476_c0_g1_i5" 0 0.290093 0
"TRINITY_DN10476_c0_g1_i6" 0.137111 0 0.640669
"TRINITY_DN10416_c1_g1_i1" 0 0 0
"TRINITY_DN10416_c0_g1_i1" 0 0 0
"TRINITY_DN10461_c0_g1_i1" 0 0 0
"TRINITY_DN10461_c0_g1_i11" 0 0 0
"TRINITY_DN10461_c0_g1_i2" 0.230417 0.501326 0
"TRINITY_DN10461_c0_g1_i3" 0 0.162682 0
"TRINITY_DN10461_c0_g1_i4" 0 0 0
"TRINITY_DN10461_c0_g1_i5" 0 0 0
"TRINITY_DN10461_c0_g1_i6" 0 0 0
"TRINITY_DN10461_c0_g1_i7" 0 0 0
"TRINITY_DN10461_c0_g1_i8" 0.0729311 0.0793766 0
"TRINITY_DN10461_c0_g1_i9" 0 0 0
"TRINITY_DN10461_c0_g4_i1" 0 0 0
"TRINITY_DN10461_c2_g1_i1" 0 0 0
"TRINITY_DN10461_c2_g1_i2" 0 0.740731 0
"TRINITY_DN10461_c0_g3_i1" 0 0 0.975891
"TRINITY_DN10461_c5_g1_i1" 0 0 0
"TRINITY_DN10461_c0_g2_i1" 0 0 0
"TRINITY_DN10473_c0_g1_i1" 0 0 0
"TRINITY_DN10473_c0_g1_i2" 0 0.511848 3.88558
"TRINITY_DN10473_c0_g1_i3" 0.588314 1.34775 0.779103
"TRINITY_DN10473_c0_g1_i4" 0 0 0
"TRINITY_DN10473_c0_g1_i5" 0.143345 0.320861 0
"TRINITY_DN10432_c0_g1_i1" 0 0 0
"TRINITY_DN10432_c0_g1_i2" 0 0 0
"TRINITY_DN10434_c0_g1_i1" 3.87453 3.05959 0
"TRINITY_DN10434_c0_g1_i2" 0.43462 0 0
"TRINITY_DN10486_c0_g1_i1" 0 0.465869 0
"TRINITY_DN10404_c0_g1_i1" 0 0 0
"TRINITY_DN10404_c0_g1_i2" 0.0755846 0 0
"TRINITY_DN10459_c0_g1_i1" 0 0.271323 0
"TRINITY_DN10450_c0_g1_i1" 0 1.14088 0
"TRINITY_DN10428_c0_g1_i1" 0 0 0
"TRINITY_DN10488_c0_g1_i1" 0 0.0928207 0
"TRINITY_DN10488_c0_g2_i1" 0 0 0
"TRINITY_DN10471_c0_g2_i1" 1.71022 4.18633 0.131369
"TRINITY_DN10471_c0_g1_i1" 7.14919 5.73368 0
"TRINITY_DN10490_c0_g1_i2" 0 0.0693989 0
"TRINITY_DN10490_c0_g1_i3" 0 0.0191466 0
"TRINITY_DN10490_c0_g1_i4" 0 0 0
"TRINITY_DN10480_c0_g1_i1" 0 0 0
"TRINITY_DN10480_c0_g1_i2" 0 0 0
"TRINITY_DN10472_c0_g1_i1" 0.311522 0.193848 0
"TRINITY_DN10421_c0_g1_i1" 0 1.90621 0
"TRINITY_DN10421_c0_g1_i3" 0.121975 1.14373 0
"TRINITY_DN10411_c1_g1_i1" 0 0 0
"TRINITY_DN10411_c0_g1_i1" 0 0.842943 1.95557
"TRINITY_DN10408_c0_g1_i1" 0.136505 0 0
"TRINITY_DN10408_c0_g1_i2" 0 0 0
"TRINITY_DN10420_c0_g1_i1" 0 0 0
"TRINITY_DN10477_c0_g1_i1" 0.0781723 0.340269 0.0442556
"TRINITY_DN10477_c0_g2_i1" 0.251361 0.273573 0.0941166
"TRINITY_DN10482_c0_g1_i1" 0 0 0
"TRINITY_DN10482_c0_g1_i2" 0 0 0
"TRINITY_DN10482_c0_g1_i3" 0 0 0
"TRINITY_DN10482_c0_g1_i4" 0 0 0
"TRINITY_DN10422_c0_g1_i1" 0 0 0
"TRINITY_DN10494_c0_g2_i1" 0 0.68102 0
"TRINITY_DN10494_c0_g2_i2" 0 0.000550269 0
"TRINITY_DN10494_c0_g1_i1" 0.263755 2.43576 0.487046
"TRINITY_DN10494_c0_g1_i10" 0 0 2.15704
"TRINITY_DN10494_c0_g1_i2" 0 0 0
"TRINITY_DN10494_c0_g1_i4" 0 0 0.733796
"TRINITY_DN10494_c0_g1_i6" 0 0 0
"TRINITY_DN10494_c0_g1_i7" 0 0 0
"TRINITY_DN10494_c0_g1_i8" 0 0 0
"TRINITY_DN10494_c0_g1_i9" 0.263755 0 0.487046
"TRINITY_DN10494_c1_g1_i1" 0 0.59845 3.66429
"TRINITY_DN10498_c0_g1_i1" 0.25369 0.0920245 0
"TRINITY_DN10401_c2_g1_i1" 0 0 0
"TRINITY_DN10401_c0_g1_i1" 0.606231 0 0
"TRINITY_DN10401_c4_g1_i1" 0 0 1.09744
"TRINITY_DN10401_c1_g1_i1" 0 0.645987 1.40416
"TRINITY_DN10401_c3_g1_i1" 0.287619 0.528513 0.0528513
"TRINITY_DN10401_c0_g2_i1" 0 0 0
"TRINITY_DN10463_c0_g1_i1" 6.00129 0 0
"TRINITY_DN10495_c0_g1_i1" 0 0 0
"TRINITY_DN10465_c0_g2_i1" 0.18863 0.263144 0
"TRINITY_DN10465_c3_g1_i1" 0 0.938207 1.25795
"TRINITY_DN10465_c0_g3_i1" 16.853 25.9624 0
"TRINITY_DN10465_c0_g1_i1" 0 0.41093 0
"TRINITY_DN10465_c0_g1_i2" 0.25866 1.43042 0
"TRINITY_DN10413_c0_g1_i1" 0 0 6.90254
"TRINITY_DN10413_c0_g2_i1" 0 0 0.768733
"TRINITY_DN10442_c0_g1_i2" 7.71225 7.57164 0.631602
"TRINITY_DN10442_c0_g1_i3" 0 0 0
"TRINITY_DN10442_c0_g1_i4" 0 0 0
"TRINITY_DN10407_c0_g1_i1" 0 0 2.07233
"TRINITY_DN10407_c1_g1_i1" 0 0 0.603721
"TRINITY_DN10481_c0_g1_i1" 74.2717 59.9015 0
"TRINITY_DN10440_c0_g1_i1" 0 0 0
"TRINITY_DN10403_c1_g2_i1" 1.0073 0 0
"TRINITY_DN10403_c0_g1_i1" 0.197708 0 0
"TRINITY_DN10403_c1_g1_i1" 1.91298 1.1287 0
"TRINITY_DN10403_c1_g1_i2" 0 0.285198 0
"TRINITY_DN10403_c1_g1_i3" 0 0 2.54493
"TRINITY_DN10403_c1_g1_i4" 0 0 0
"TRINITY_DN10403_c1_g1_i5" 0 0 0
"TRINITY_DN10496_c0_g2_i1" 0 0 0
"TRINITY_DN10496_c0_g2_i2" 0 0 0
"TRINITY_DN10496_c0_g1_i1" 0 0.102138 0.01363
"TRINITY_DN10496_c0_g1_i2" 0 0.0867768 0
"TRINITY_DN10446_c0_g1_i1" 0 0.0468734 0
"TRINITY_DN10452_c0_g1_i1" 1.13942 0 0
"TRINITY_DN10412_c0_g1_i1" 0.0184685 0.23189 0
"TRINITY_DN10412_c0_g1_i3" 0 0.22678 0
"TRINITY_DN10431_c0_g1_i1" 4.95063 48.4961 0
"TRINITY_DN10431_c0_g1_i2" 118.43 11.3092 0.0923177
"TRINITY_DN10458_c0_g1_i1" 0.282714 0.78075 0.15704
"TRINITY_DN10458_c0_g1_i5" 3.91202 4.28745 0.214178
"TRINITY_DN10418_c0_g1_i1" 0 0 0
"TRINITY_DN10418_c0_g1_i2" 0 0 0
"TRINITY_DN10483_c0_g1_i1" 0 0 0
"TRINITY_DN10483_c0_g1_i2" 0 0 0
"TRINITY_DN10483_c0_g1_i3" 0 0 0
"TRINITY_DN10483_c0_g1_i4" 0 0.214952 0
"TRINITY_DN10483_c0_g1_i5" 0 0 0
"TRINITY_DN10483_c0_g1_i6" 0 0 0
"TRINITY_DN10483_c0_g1_i7" 0 0.0436081 0
"TRINITY_DN10439_c0_g5_i1" 0 0 0
"TRINITY_DN10439_c0_g1_i2" 0.302672 0.251452 0
"TRINITY_DN10439_c0_g4_i1" 0 0.424331 0
"TRINITY_DN10439_c0_g2_i1" 0.0819785 0.271038 0
"TRINITY_DN10439_c0_g2_i2" 0 0.185866 0.183768
"TRINITY_DN10485_c0_g1_i1" 0 0 0
"TRINITY_DN10493_c1_g1_i1" 0 0 0
"TRINITY_DN10493_c0_g1_i1" 0 0 0
"TRINITY_DN10449_c0_g1_i1" 0.181229 0.407487 2.22684
"TRINITY_DN10449_c0_g1_i3" 0 0.272616 0.26511
"TRINITY_DN10437_c0_g1_i1" 0 0 0
"TRINITY_DN10429_c0_g1_i1" 110.403 58.4846 0
"TRINITY_DN10406_c1_g2_i1" 0 0 0
"TRINITY_DN10406_c1_g1_i1" 0.186088 0.204128 0
"TRINITY_DN10500_c0_g1_i1" 0.259236 0.658283 0.0483539
"TRINITY_DN10423_c0_g1_i4" 0 0.030923 0
"TRINITY_DN10423_c0_g1_i7" 0 0 0
"TRINITY_DN10423_c0_g1_i8" 0 0 0
"TRINITY_DN10423_c0_g1_i9" 0 0 0
"TRINITY_DN10435_c0_g1_i1" 0 0 0
"TRINITY_DN10435_c1_g1_i1" 0 0 0.323491
"TRINITY_DN10444_c0_g1_i1" 0 0 0
"TRINITY_DN10427_c0_g1_i1" 2.49268 8.74409 0
"TRINITY_DN10464_c0_g1_i1" 0 0.132857 0
"TRINITY_DN10464_c0_g1_i2" 0 0 0
"TRINITY_DN10464_c1_g1_i1" 0 0 5.29195
"TRINITY_DN10464_c1_g1_i2" 4.24663 14.4962 26.0831
"TRINITY_DN10460_c3_g1_i1" 0.765493 4.53239 3.96106
"TRINITY_DN10460_c4_g1_i1" 0 0 0
"TRINITY_DN10460_c0_g1_i1" 0 0 0
"TRINITY_DN10460_c0_g1_i2" 0.953642 0.932653 0
"TRINITY_DN10425_c0_g1_i1" 0.565784 1.0172 0.291557
"TRINITY_DN10425_c0_g1_i2" 0.0430265 0.0437554 0.0348756
"TRINITY_DN10425_c0_g1_i4" 0 0 0.0623099
"TRINITY_DN10499_c0_g3_i1" 0.459785 1.76091 0
"TRINITY_DN10499_c1_g1_i1" 0 0 0
"TRINITY_DN10499_c1_g2_i1" 0 0 0
"TRINITY_DN10499_c0_g4_i1" 1.07224 1.53825 0
"TRINITY_DN10499_c0_g1_i2" 0.61457 0.549345 0
"TRINITY_DN10499_c0_g1_i3" 2.40788 2.19912 2.265
"TRINITY_DN10441_c0_g1_i1" 1.53513 1.45197 0
"TRINITY_DN10454_c0_g1_i1" 0 0.167823 0.0536475
"TRINITY_DN10454_c0_g1_i2" 0.120111 0.179578 0.0991078
"TRINITY_DN10491_c0_g1_i1" 16.4316 12.4996 3.18247
"TRINITY_DN10419_c1_g2_i1" 0 0.550378 0
"TRINITY_DN10419_c3_g1_i1" 0 0 0
"TRINITY_DN10419_c1_g1_i1" 0 0 0
"TRINITY_DN10419_c0_g1_i1" 0.797556 3.11382 0.358497
"TRINITY_DN10402_c0_g1_i1" 0 0 0
"TRINITY_DN10402_c0_g1_i2" 2.40172 4.18922 0
"TRINITY_DN10402_c1_g1_i1" 0 0 0
"TRINITY_DN10451_c0_g1_i1" 0 0.138863 0
"TRINITY_DN10451_c0_g1_i2" 0 0.198854 0
"TRINITY_DN10451_c0_g1_i3" 0 0 0
