"Accession_ID","Entry.name","Protein.names","Gene.names","Organism","Length"
"Q96SN8","CK5P2_HUMAN","CDK5 regulatory subunit-associated protein 2 (CDK5 activator-binding protein C48) (Centrosome-associated protein 215)","CDK5RAP2 CEP215 KIAA1633","Homo sapiens (Human)",1893
"Q9DAI4","ZBT43_MOUSE","Zinc finger and BTB domain-containing protein 43 (Zinc finger protein 297B)","Zbtb43 Kiaa0414 Zfp297b Znf297b","Mus musculus (Mouse)",467
"D3ZVK1","MCM8_RAT","DNA helicase MCM8 (EC 3.6.4.12) (Minichromosome maintenance 8)","Mcm8","Rattus norvegicus (Rat)",830
"P97260","SCAP_CRIGR","Sterol regulatory element-binding protein cleavage-activating protein (SCAP) (SREBP cleavage-activating protein)","SCAP","Cricetulus griseus (Chinese hamster) (Cricetulus barabensis griseus)",1276
"Q90744","NAGAB_CHICK","Alpha-N-acetylgalactosaminidase (EC 3.2.1.49) (Alpha-galactosidase B)","NAGA","Gallus gallus (Chicken)",405
"Q0IIE2","SHC1_BOVIN","SHC-transforming protein 1 (Src homology 2 domain-containing-transforming protein C1) (SH2 domain protein C1)","SHC1","Bos taurus (Bovine)",473
"Q9ULW0","TPX2_HUMAN","Targeting protein for Xklp2 (Differentially expressed in cancerous and non-cancerous lung cells 2) (DIL-2) (Hepatocellular carcinoma-associated antigen 519) (Hepatocellular carcinoma-associated antigen 90) (Protein fls353) (Restricted expression proliferation-associated protein 100) (p100)","TPX2 C20orf1 C20orf2 DIL2 HCA519","Homo sapiens (Human)",747
"Q9DB73","NB5R1_MOUSE","NADH-cytochrome b5 reductase 1 (b5R.1) (EC 1.6.2.2) (NAD(P)H:quinone oxidoreductase type 3 polypeptide A2)","Cyb5r1 Nqo3a2","Mus musculus (Mouse)",305
"Q92058","PPBT_CHICK","Alkaline phosphatase, tissue-nonspecific isozyme (AP-TNAP) (TNSALP) (EC 3.1.3.1)","ALPL","Gallus gallus (Chicken)",519
"P56399","UBP5_MOUSE","Ubiquitin carboxyl-terminal hydrolase 5 (EC 3.4.19.12) (Deubiquitinating enzyme 5) (Isopeptidase T) (Ubiquitin thioesterase 5) (Ubiquitin-specific-processing protease 5)","Usp5 Isot","Mus musculus (Mouse)",858
"Q92622","RUBIC_HUMAN","Run domain Beclin-1-interacting and cysteine-rich domain-containing protein (Rubicon) (Beclin-1 associated RUN domain containing protein) (Baron)","RUBCN KIAA0226","Homo sapiens (Human)",972
"P33991","MCM4_HUMAN","DNA replication licensing factor MCM4 (EC 3.6.4.12) (CDC21 homolog) (P1-CDC21)","MCM4 CDC21","Homo sapiens (Human)",863
"P50867","CYSK_EMENI","Cysteine synthase 1 (CS 1) (EC 2.5.1.-) (EC 2.5.1.47) (O-acetylserine (thiol)-lyase 1) (OAS-TL 1) (O-acetylserine sulfhydrylase 1) (O-succinylserine sulfhydrylase)","cysB cysE AN8057","Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans)",370
"Q5VXT5","SYPL2_HUMAN","Synaptophysin-like protein 2","SYPL2","Homo sapiens (Human)",272
"Q6PBM1","GLRX5_DANRE","Glutaredoxin-related protein 5, mitochondrial (Monothiol glutaredoxin-5)","glrx5 grx5 shiraz si:ch211-121d13.1","Danio rerio (Zebrafish) (Brachydanio rerio)",155
"Q14995","NR1D2_HUMAN","Nuclear receptor subfamily 1 group D member 2 (Orphan nuclear hormone receptor BD73) (Rev-erb alpha-related receptor) (RVR) (Rev-erb-beta) (V-erbA-related protein 1-related) (EAR-1R)","NR1D2","Homo sapiens (Human)",579
"A5VBQ6","CH60_SPHWW","60 kDa chaperonin (GroEL protein) (Protein Cpn60)","groL groEL Swit_3376","Sphingomonas wittichii (strain RW1 / DSM 6014 / JCM 10273)",549
"B0I1T2","MYO1G_HUMAN","Unconventional myosin-Ig [Cleaved into: Minor histocompatibility antigen HA-2 (mHag HA-2)]","MYO1G HA2","Homo sapiens (Human)",1018
"Q96I24","FUBP3_HUMAN","Far upstream element-binding protein 3 (FUSE-binding protein 3)","FUBP3 FBP3","Homo sapiens (Human)",572
"P34275","IVD_CAEEL","Probable acyl-CoA dehydrogenase 6 (Probable isovaleryl-CoA dehydrogenase) (IVD) (EC 1.3.8.4)","acdh-6 C02D5.1","Caenorhabditis elegans",408
"O00562","PITM1_HUMAN","Membrane-associated phosphatidylinositol transfer protein 1 (Drosophila retinal degeneration B homolog) (Phosphatidylinositol transfer protein, membrane-associated 1) (PITPnm 1) (Pyk2 N-terminal domain-interacting receptor 2) (NIR-2)","PITPNM1 DRES9 NIR2 PITPNM","Homo sapiens (Human)",1244
"Q92544","TM9S4_HUMAN","Transmembrane 9 superfamily member 4 (Tumor cannibalism associated protein 1)","TM9SF4 KIAA0255 TUCAP1","Homo sapiens (Human)",642
"Q6GPB8","DBR1A_XENLA","Lariat debranching enzyme A (EC 3.1.-.-)","dbr1-a","Xenopus laevis (African clawed frog)",534
"Q6P378","ACTG_XENTR","Actin, cytoplasmic 2 (Actin, cytoplasmic, type 5) (Gamma-actin) [Cleaved into: Actin, cytoplasmic 2, N-terminally processed]","actg1","Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)",375
"P22439","ODPX_BOVIN","Pyruvate dehydrogenase protein X component (Dihydrolipoamide dehydrogenase-binding protein of pyruvate dehydrogenase complex) (E3-binding protein) (E3BP) (proX)","PDHX PDX1","Bos taurus (Bovine)",501
"Q8C025","CHPT1_MOUSE","Cholinephosphotransferase 1 (mCHPT1) (EC 2.7.8.2) (Diabetic nephropathy-associated gene transcript 1) (Diacylglycerol cholinephosphotransferase 1)","Chpt1 Cpt1 Dn4","Mus musculus (Mouse)",398
"Q641Y2","NDUS2_RAT","NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial (EC 7.1.1.2) (Complex I-49kD) (CI-49kD) (NADH-ubiquinone oxidoreductase 49 kDa subunit)","Ndufs2","Rattus norvegicus (Rat)",463
"P28062","PSB8_HUMAN","Proteasome subunit beta type-8 (EC 3.4.25.1) (Low molecular mass protein 7) (Macropain subunit C13) (Multicatalytic endopeptidase complex subunit C13) (Proteasome component C13) (Proteasome subunit beta-5i) (Really interesting new gene 10 protein)","PSMB8 LMP7 PSMB5i RING10 Y2","Homo sapiens (Human)",276
"P48036","ANXA5_MOUSE","Annexin A5 (Anchorin CII) (Annexin V) (Annexin-5) (Calphobindin I) (CBP-I) (Endonexin II) (Lipocortin V) (Placental anticoagulant protein 4) (PP4) (Placental anticoagulant protein I) (PAP-I) (Thromboplastin inhibitor) (Vascular anticoagulant-alpha) (VAC-alpha)","Anxa5 Anx5","Mus musculus (Mouse)",319
"Q9VQ36","FRITZ_DROME","WD repeat-containing and planar cell polarity effector protein fritz","frtz CG17657","Drosophila melanogaster (Fruit fly)",951
"Q2KIG5","THAS_BOVIN","Thromboxane-A synthase (TXA synthase) (TXS) (EC 5.3.99.5) (Cytochrome P450 5A1) (Hydroperoxy icosatetraenoate dehydratase) (EC 4.2.1.152)","TBXAS1 CYP5A1","Bos taurus (Bovine)",533
"Q9V3U9","SLMO_DROME","Protein slowmo","slmo kisir CG9131","Drosophila melanogaster (Fruit fly)",215
"Q5M7W4","TMC5_RAT","Transmembrane channel-like protein 5","Tmc5","Rattus norvegicus (Rat)",965
"Q14517","FAT1_HUMAN","Protocadherin Fat 1 (Cadherin family member 7) (Cadherin-related tumor suppressor homolog) (Protein fat homolog) [Cleaved into: Protocadherin Fat 1, nuclear form]","FAT1 CDHF7 FAT","Homo sapiens (Human)",4588
"Q2M2S8","ALKB7_BOVIN","Alpha-ketoglutarate-dependent dioxygenase alkB homolog 7, mitochondrial (EC 1.14.11.-) (Alkylated DNA repair protein alkB homolog 7)","ALKBH7","Bos taurus (Bovine)",221
"Q6DDP3","ENPP6_XENLA","Glycerophosphocholine cholinephosphodiesterase ENPP6 (GPC-Cpde) (EC 3.1.4.-) (EC 3.1.4.38) (Choline-specific glycerophosphodiester phosphodiesterase) (Ectonucleotide pyrophosphatase/phosphodiesterase family member 6) (E-NPP 6) (NPP-6)","enpp6","Xenopus laevis (African clawed frog)",441
"A5D8M0","TYDP2_XENLA","Tyrosyl-DNA phosphodiesterase 2 (Tyr-DNA phosphodiesterase 2) (EC 3.1.4.-) (5'-tyrosyl-DNA phosphodiesterase) (5'-Tyr-DNA phosphodiesterase) (TRAF and TNF receptor-associated protein homolog)","tdp2 ttrap","Xenopus laevis (African clawed frog)",371
"Q8VEH5","EPMIP_MOUSE","EPM2A-interacting protein 1 (Laforin-interacting protein)","Epm2aip1 Kiaa0766","Mus musculus (Mouse)",606
"Q803M3","TEX10_DANRE","Testis-expressed protein 10 homolog","tex10 zgc:55523","Danio rerio (Zebrafish) (Brachydanio rerio)",933
"Q29419","ZFY_PIG","Zinc finger Y-chromosomal protein (Fragment)","ZFY","Sus scrofa (Pig)",148
"O23087","ECA2_ARATH","Calcium-transporting ATPase 2, endoplasmic reticulum-type (EC 7.2.2.10)","ECA2 ACA5 At4g00900 A_TM018A10.4","Arabidopsis thaliana (Mouse-ear cress)",1054
"P42285","MTREX_HUMAN","Exosome RNA helicase MTR4 (EC 3.6.4.13) (ATP-dependent RNA helicase DOB1) (ATP-dependent RNA helicase SKIV2L2) (Superkiller viralicidic activity 2-like 2) (TRAMP-like complex helicase)","MTREX DOB1 KIAA0052 MTR4 SKIV2L2","Homo sapiens (Human)",1042
"P35832","PTP99_DROME","Tyrosine-protein phosphatase 99A (EC 3.1.3.48) (Receptor-linked protein-tyrosine phosphatase 99A) (DPTP99A)","Ptp99A CG2005","Drosophila melanogaster (Fruit fly)",1301
"Q8CHT3","INT5_MOUSE","Integrator complex subunit 5 (Int5)","Ints5","Mus musculus (Mouse)",1018
"Q9CQV6","MLP3B_MOUSE","Microtubule-associated proteins 1A/1B light chain 3B (Autophagy-related protein LC3 B) (Autophagy-related ubiquitin-like modifier LC3 B) (MAP1 light chain 3-like protein 2) (MAP1A/MAP1B light chain 3 B) (MAP1A/MAP1B LC3 B) (Microtubule-associated protein 1 light chain 3 beta)","Map1lc3b Map1alc3 Map1lc3","Mus musculus (Mouse)",125
"Q9HCM2","PLXA4_HUMAN","Plexin-A4","PLXNA4 KIAA1550 PLXNA4A PLXNA4B UNQ2820/PRO34003","Homo sapiens (Human)",1894
"P49935","CATH_MOUSE","Pro-cathepsin H (Cathepsin B3) (Cathepsin BA) [Cleaved into: Cathepsin H mini chain; Cathepsin H (EC 3.4.22.16); Cathepsin H heavy chain; Cathepsin H light chain]","Ctsh","Mus musculus (Mouse)",333
"P12931","SRC_HUMAN","Proto-oncogene tyrosine-protein kinase Src (EC 2.7.10.2) (Proto-oncogene c-Src) (pp60c-src) (p60-Src)","SRC SRC1","Homo sapiens (Human)",536
"Q0VAA5","PLCX2_HUMAN","PI-PLC X domain-containing protein 2","PLCXD2","Homo sapiens (Human)",305
"Q52995","ECHH_RHIME","Probable enoyl-CoA hydratase (EC 4.2.1.17)","fadB1 R00366 SMc01153","Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)",257
"F1RQM2","AGM1_PIG","Phosphoacetylglucosamine mutase (PAGM) (PGlcNAc mutase) (EC 5.4.2.3) (Acetylglucosamine phosphomutase) (N-acetylglucosamine-phosphate mutase) (Phosphoglucomutase-3) (PGM 3)","PGM3 AGM1","Sus scrofa (Pig)",542
"Q9BX68","HINT2_HUMAN","Histidine triad nucleotide-binding protein 2, mitochondrial (HINT-2) (EC 3.-.-.-) (HINT-3) (HIT-17kDa) (PKCI-1-related HIT protein)","HINT2","Homo sapiens (Human)",163
"Q8I8U7","TRA1_DROME","Transcription-associated protein 1 (dTRA1)","Nipped-A Tra1 CG2905","Drosophila melanogaster (Fruit fly)",3790
"P84092","AP2M1_RAT","AP-2 complex subunit mu (AP-2 mu chain) (Adaptor protein complex AP-2 subunit mu) (Adaptor-related protein complex 2 subunit mu) (Clathrin assembly protein complex 2 mu medium chain) (Clathrin coat assembly protein AP50) (Clathrin coat-associated protein AP50) (Mu2-adaptin) (Plasma membrane adaptor AP-2 50 kDa protein)","Ap2m1","Rattus norvegicus (Rat)",435
"P35580","MYH10_HUMAN","Myosin-10 (Cellular myosin heavy chain, type B) (Myosin heavy chain 10) (Myosin heavy chain, non-muscle IIb) (Non-muscle myosin heavy chain B) (NMMHC-B) (Non-muscle myosin heavy chain IIb) (NMMHC II-b) (NMMHC-IIB)","MYH10","Homo sapiens (Human)",1976
"Q6DEU9","CTR9_XENTR","RNA polymerase-associated protein CTR9 homolog (SH2 domain-binding protein 1)","ctr9 sh2bp1","Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)",1172
"Q5ZKG2","BRD7_CHICK","Bromodomain-containing protein 7","BRD7 RCJMB04_11a18","Gallus gallus (Chicken)",651
"Q9JMA7","CP341_MOUSE","Cytochrome P450 3A41 (EC 1.14.14.1)","Cyp3a41a Cyp3a41; Cyp3a41b","Mus musculus (Mouse)",504
"Q9JMK2","KC1E_MOUSE","Casein kinase I isoform epsilon (CKI-epsilon) (CKIe) (EC 2.7.11.1)","Csnk1e","Mus musculus (Mouse)",416
"Q32Q07","LRRN1_RAT","Leucine-rich repeat neuronal protein 1 (Neuronal leucine-rich repeat protein 1) (NLRR-1)","Lrrn1","Rattus norvegicus (Rat)",716
"Q28EX9","UBCP1_XENTR","Ubiquitin-like domain-containing CTD phosphatase 1 (EC 3.1.3.16) (Nuclear proteasome inhibitor UBLCP1)","ublcp1 TGas135j05.1","Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)",318
"Q0VD32","CRBL2_BOVIN","cAMP-responsive element-binding protein-like 2","CREBL2","Bos taurus (Bovine)",120
"P17676","CEBPB_HUMAN","CCAAT/enhancer-binding protein beta (C/EBP beta) (Liver activator protein) (LAP) (Liver-enriched inhibitory protein) (LIP) (Nuclear factor NF-IL6) (Transcription factor 5) (TCF-5)","CEBPB TCF5 PP9092","Homo sapiens (Human)",345
"Q9VEV4","CL16A_DROME","Protein CLEC16A homolog (Endosomal maturation defective protein)","ema CG12753","Drosophila melanogaster (Fruit fly)",1067
"Q1RMT8","IRAK4_BOVIN","Interleukin-1 receptor-associated kinase 4 (IRAK-4) (EC 2.7.11.1)","IRAK4","Bos taurus (Bovine)",461
"Q2TBX5","SSRD_BOVIN","Translocon-associated protein subunit delta (TRAP-delta) (Signal sequence receptor subunit delta) (SSR-delta)","SSR4","Bos taurus (Bovine)",172
"C9WPN6","IF2H_RAT","Eukaryotic translation initiation factor 2 subunit 3, Y-linked (EC 3.6.5.3) (Eukaryotic translation initiation factor 2 subunit gamma, Y-linked) (eIF-2-gamma Y)","Eif2s3y","Rattus norvegicus (Rat)",472
"Q8K4Q0","RPTOR_MOUSE","Regulatory-associated protein of mTOR (Raptor) (p150 target of rapamycin (TOR)-scaffold protein)","Rptor Raptor","Mus musculus (Mouse)",1335
"P60603","ROMO1_MOUSE","Reactive oxygen species modulator 1 (ROS modulator 1) (Protein MGR2 homolog)","Romo1","Mus musculus (Mouse)",79
"O54781","SRPK2_MOUSE","SRSF protein kinase 2 (EC 2.7.11.1) (SFRS protein kinase 2) (Serine/arginine-rich protein-specific kinase 2) (SR-protein-specific kinase 2) [Cleaved into: SRSF protein kinase 2 N-terminal; SRSF protein kinase 2 C-terminal]","Srpk2","Mus musculus (Mouse)",681
"Q5RFJ3","UD2A3_PONAB","UDP-glucuronosyltransferase 2A3 (UDPGT 2A3) (EC 2.4.1.17)","UGT2A3","Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)",527
"Q14703","MBTP1_HUMAN","Membrane-bound transcription factor site-1 protease (EC 3.4.21.112) (Endopeptidase S1P) (Subtilisin/kexin-isozyme 1) (SKI-1)","MBTPS1 KIAA0091 S1P SKI1","Homo sapiens (Human)",1052
"P28523","CSK2A_MAIZE","Casein kinase II subunit alpha (EC 2.7.11.1) (CK II) (CK2-alpha)","ACK2","Zea mays (Maize)",332
"Q3T062","RRP15_BOVIN","RRP15-like protein (Ribosomal RNA-processing protein 15)","RRP15","Bos taurus (Bovine)",286
"Q71U00","SKP1_XENLA","S-phase kinase-associated protein 1 (Cyclin-A/CDK2-associated protein p19) (S-phase kinase-associated protein 1A) (p19A) (p19skp1)","skp1 skp1a","Xenopus laevis (African clawed frog)",163
"Q16836","HCDH_HUMAN","Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial (HCDH) (EC 1.1.1.35) (Medium and short-chain L-3-hydroxyacyl-coenzyme A dehydrogenase) (Short-chain 3-hydroxyacyl-CoA dehydrogenase)","HADH HAD HAD1 HADHSC SCHAD","Homo sapiens (Human)",314
"O13849","CBPY_SCHPO","Carboxypeptidase Y (CPY) (EC 3.4.16.5)","cpy1 pcy1 SPAC19G12.10c","Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)",1002
"P26572","MGAT1_HUMAN","Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase (EC 2.4.1.101) (N-glycosyl-oligosaccharide-glycoprotein N-acetylglucosaminyltransferase I) (GNT-I) (GlcNAc-T I)","MGAT1 GGNT1 GLCT1 GLYT1 MGAT","Homo sapiens (Human)",445
"P82664","RT10_HUMAN","28S ribosomal protein S10, mitochondrial (MRP-S10) (S10mt) (Mitochondrial small ribosomal subunit protein uS10m)","MRPS10 MSTP040","Homo sapiens (Human)",201
"O85713","GM4D_RHIFH","GDP-mannose 4,6-dehydratase (EC 4.2.1.47) (GDP-D-mannose dehydratase)","gmd noeL SFHH103_04266","Rhizobium fredii (strain HH103) (Sinorhizobium fredii)",351
"Q8K1B8","URP2_MOUSE","Fermitin family homolog 3 (Kindlin-3) (Unc-112-related protein 2)","Fermt3 Kind3 Urp2","Mus musculus (Mouse)",665
"P00522","ABL_DROME","Tyrosine-protein kinase Abl (EC 2.7.10.2) (D-ash) (Protein abelson)","Abl ABL-1 Dash CG4032","Drosophila melanogaster (Fruit fly)",1620
"Q9NZM3","ITSN2_HUMAN","Intersectin-2 (SH3 domain-containing protein 1B) (SH3P18) (SH3P18-like WASP-associated protein)","ITSN2 KIAA1256 SH3D1B SWAP","Homo sapiens (Human)",1697
"Q8CE72","CPLN1_MOUSE","Ciliogenesis and planar polarity effector 1 (Protein C5orf42 homolog) (Protein JBTS17)","Cplane1 Jbts17","Mus musculus (Mouse)",3214
"P62783","H4_STRPU","Histone H4","","Strongylocentrotus purpuratus (Purple sea urchin)",103
"Q7T3C7","RT4I1_DANRE","Reticulon-4-interacting protein 1 homolog, mitochondrial","rtn4ip1","Danio rerio (Zebrafish) (Brachydanio rerio)",387
"Q24K03","THUM1_BOVIN","THUMP domain-containing protein 1","THUMPD1","Bos taurus (Bovine)",357
"Q06068","HSP97_STRPU","97 kDa heat shock protein (Egg sperm receptor)","","Strongylocentrotus purpuratus (Purple sea urchin)",889
"Q5FVA9","RAE1L_XENTR","mRNA export factor (Rae1 protein homolog) (mRNA-associated protein mrnp 41)","rae1 mrnp41 TEgg053e05.1","Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)",368
"O95782","AP2A1_HUMAN","AP-2 complex subunit alpha-1 (100 kDa coated vesicle protein A) (Adaptor protein complex AP-2 subunit alpha-1) (Adaptor-related protein complex 2 subunit alpha-1) (Alpha-adaptin A) (Alpha1-adaptin) (Clathrin assembly protein complex 2 alpha-A large chain) (Plasma membrane adaptor HA2/AP2 adaptin alpha A subunit)","AP2A1 ADTAA CLAPA1","Homo sapiens (Human)",977
"Q15181","IPYR_HUMAN","Inorganic pyrophosphatase (EC 3.6.1.1) (Pyrophosphate phospho-hydrolase) (PPase)","PPA1 IOPPP PP","Homo sapiens (Human)",289
"Q90XD2","SPEB_CHICK","Agmatinase, mitochondrial (EC 3.5.3.11) (Agmatine ureohydrolase) (AUH)","AGMAT","Gallus gallus (Chicken)",340
"Q9NVU7","SDA1_HUMAN","Protein SDA1 homolog (Nucleolar protein 130) (SDA1 domain-containing protein 1) (hSDA)","SDAD1 NUC130","Homo sapiens (Human)",687
"Q3T9Z9","ZUP1_MOUSE","Zinc finger-containing ubiquitin peptidase 1 (EC 3.4.19.12) (Lys-63-specific deubiquitinase ZUFSP) (DUB) (Zinc finger with UFM1-specific peptidase domain protein)","Zup1 Zufsp","Mus musculus (Mouse)",577
"O02373","UGDH_DROME","UDP-glucose 6-dehydrogenase (UDP-Glc dehydrogenase) (UDP-GlcDH) (UDPGDH) (EC 1.1.1.22) (Protein sugarless) (Protein suppenkasper)","sgl kiwi ska CG10072","Drosophila melanogaster (Fruit fly)",476
"Q5XGY1","TSR1_XENLA","Pre-rRNA-processing protein TSR1 homolog","tsr1","Xenopus laevis (African clawed frog)",815
"Q9FLK4","GSXL8_ARATH","Flavin-containing monooxygenase FMO GS-OX-like 8 (EC 1.8.-.-) (Flavin-monooxygenase glucosinolate S-oxygenase-like 8)","At5g61290 MFB13.9","Arabidopsis thaliana (Mouse-ear cress)",461
"Q54WT7","CTNS_DICDI","Cystinosin homolog","ctns DDB_G0279445","Dictyostelium discoideum (Slime mold)",284
"Q2QYW2","CLH2_ORYSJ","Clathrin heavy chain 2","Os12g0104800 LOC_Os12g01390","Oryza sativa subsp. japonica (Rice)",1708
"Q4R7Y5","DNJB6_MACFA","DnaJ homolog subfamily B member 6","DNAJB6 QtsA-14076","Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)",241
"Q92539","LPIN2_HUMAN","Phosphatidate phosphatase LPIN2 (EC 3.1.3.4) (Lipin-2)","LPIN2 KIAA0249","Homo sapiens (Human)",896
"Q7ZVB2","A9A1A_DANRE","4-trimethylaminobutyraldehyde dehydrogenase A (TMABA-DH) (TMABADH) (EC 1.2.1.47) (Aldehyde dehydrogenase family 9 member A1-A) (EC 1.2.1.3)","aldh9a1a aldh9a1l","Danio rerio (Zebrafish) (Brachydanio rerio)",508
"O42161","ACTB_SALSA","Actin, cytoplasmic 1 (Beta-actin) [Cleaved into: Actin, cytoplasmic 1, N-terminally processed]","actb","Salmo salar (Atlantic salmon)",375
"P25789","PSA4_HUMAN","Proteasome subunit alpha type-4 (Macropain subunit C9) (Multicatalytic endopeptidase complex subunit C9) (Proteasome component C9) (Proteasome subunit L)","PSMA4 HC9 PSC9","Homo sapiens (Human)",261
"Q9VPW8","PINO_DROME","Protein pinocchio","Pino smi21F CG4710","Drosophila melanogaster (Fruit fly)",249
"Q9P7Q4","SEC18_SCHPO","Vesicular-fusion protein sec18","sec18 SPAC1834.11c","Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)",792
"Q13418","ILK_HUMAN","Integrin-linked protein kinase (EC 2.7.11.1) (59 kDa serine/threonine-protein kinase) (ILK-1) (ILK-2) (p59ILK)","ILK ILK1 ILK2","Homo sapiens (Human)",452
"Q5RC80","RBM39_PONAB","RNA-binding protein 39 (RNA-binding motif protein 39)","RBM39","Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)",524
"Q9LR47","IP5P6_ARATH","Type IV inositol polyphosphate 5-phosphatase 6 (At5PTase6) (EC 3.1.3.36) (EC 3.1.3.86) (Protein COTYLEDON VASCULAR PATTERN 2)","IP5P6 CVP2 At1g05470 T25N20.12","Arabidopsis thaliana (Mouse-ear cress)",617
"Q5R5Y3","B3GT2_PONAB","Beta-1,3-galactosyltransferase 2 (Beta-1,3-GalTase 2) (Beta3Gal-T2) (Beta3GalT2) (EC 2.4.1.86) (UDP-galactose:2-acetamido-2-deoxy-D-glucose 3beta-galactosyltransferase 2)","B3GALT2","Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)",422
"Q95RA9","GILT1_DROME","GILT-like protein 1","GILT1 CG9796","Drosophila melanogaster (Fruit fly)",250
"O34421","ACDC_BACSU","Probable acyl-CoA dehydrogenase YngJ (EC 1.3.99.-)","yngJ BSU18260","Bacillus subtilis (strain 168)",380
"Q8BU14","SEC62_MOUSE","Translocation protein SEC62 (Translocation protein 1) (TP-1)","Sec62 Tloc1","Mus musculus (Mouse)",398
"P35789","ZNF93_HUMAN","Zinc finger protein 93 (Zinc finger protein 505) (Zinc finger protein HTF34)","ZNF93 ZNF505","Homo sapiens (Human)",620
"Q96S96","PEBP4_HUMAN","Phosphatidylethanolamine-binding protein 4 (PEBP-4) (hPEBP4) (Protein cousin-of-RKIP 1)","PEBP4 CORK1 UNQ1933/PRO4408","Homo sapiens (Human)",227
"Q9CWB7","YD286_MOUSE","Glutaredoxin-like protein C5orf63 homolog","","Mus musculus (Mouse)",115
"Q5RBY9","ZNF2_PONAB","Zinc finger protein 2","ZNF2","Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)",425
"Q24572","CAF1_DROME","Chromatin assembly factor 1 p55 subunit (CAF-1 p55 subunit) (CAF-1) (Nucleosome-remodeling factor 55 kDa subunit) (NURF-55)","Caf1-55 Caf1 CG4236","Drosophila melanogaster (Fruit fly)",430
"Q9WTX6","CUL1_MOUSE","Cullin-1 (CUL-1)","Cul1","Mus musculus (Mouse)",776
"Q3KP31","ZN791_HUMAN","Zinc finger protein 791","ZNF791","Homo sapiens (Human)",576
"Q6BDS2","URFB1_HUMAN","UHRF1-binding protein 1 (ICBP90-binding protein 1) (Ubiquitin-like containing PHD and RING finger domains 1-binding protein 1)","UHRF1BP1 C6orf107","Homo sapiens (Human)",1440
"Q7DLR9","PSB4_ARATH","Proteasome subunit beta type-4 (EC 3.4.25.1) (20S proteasome beta subunit G-1) (Proteasome component H) (Proteasome subunit beta type-7)","PBG1 PRCH At1g56450 F13N6.3","Arabidopsis thaliana (Mouse-ear cress)",246
"Q792H5","CELF2_RAT","CUGBP Elav-like family member 2 (CELF-2) (Bruno-like protein 3) (CUG triplet repeat RNA-binding protein 2) (CUG-BP2) (CUG-BP- and ETR-3-like factor 2) (ELAV-type RNA-binding protein 3) (ETR-3) (Protein ETR-R3) (Neuroblastoma apoptosis-related RNA-binding protein) (rNapor) (RNA-binding protein BRUNOL-3)","Celf2 Cugbp2 Etr3 Napor","Rattus norvegicus (Rat)",508
"P48736","PK3CG_HUMAN","Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform (PI3-kinase subunit gamma) (PI3K-gamma) (PI3Kgamma) (PtdIns-3-kinase subunit gamma) (EC 2.7.1.153) (Phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kDa catalytic subunit gamma) (PtdIns-3-kinase subunit p110-gamma) (p110gamma) (Phosphoinositide-3-kinase catalytic gamma polypeptide) (Serine/threonine protein kinase PIK3CG) (EC 2.7.11.1) (p120-PI3K)","PIK3CG","Homo sapiens (Human)",1102
"P47787","THAS_PIG","Thromboxane-A synthase (TXA synthase) (TXS) (EC 5.3.99.5) (Cytochrome P450 5A1) (Hydroperoxy icosatetraenoate dehydratase) (EC 4.2.1.152)","TBXAS1 CYP5 CYP5A1","Sus scrofa (Pig)",534
"Q9Y6E2","BZW2_HUMAN","Basic leucine zipper and W2 domain-containing protein 2","BZW2 HSPC028 MSTP017","Homo sapiens (Human)",419
"Q96CN9","GCC1_HUMAN","GRIP and coiled-coil domain-containing protein 1 (Golgi coiled-coil protein 1)","GCC1","Homo sapiens (Human)",775
"Q6DJM2","TAM41_XENLA","Phosphatidate cytidylyltransferase, mitochondrial (EC 2.7.7.41) (CDP-diacylglycerol synthase) (CDP-DAG synthase) (Mitochondrial translocator assembly and maintenance protein 41 homolog) (TAM41)","tamm41","Xenopus laevis (African clawed frog)",338
"O60235","TM11D_HUMAN","Transmembrane protease serine 11D (EC 3.4.21.-) (Airway trypsin-like protease) [Cleaved into: Transmembrane protease serine 11D non-catalytic chain; Transmembrane protease serine 11D catalytic chain]","TMPRSS11D HAT","Homo sapiens (Human)",418
