"Accession_ID","Entry.name","Protein.names","Gene.names","Organism","Length"
"Q94IN5","PNO_EUGGR","Pyruvate dehydrogenase [NADP(+)], mitochondrial (EC 1.2.1.51) (Aquacobalamin reductase [NADPH]) (EgPNOmt) (Pyruvate:NADP(+) oxidoreductase)","PNO","Euglena gracilis",1803
"Q55DP8","ACY1_DICDI","Aminoacylase-1 (ACY-1) (EC 3.5.1.14) (N-acyl-L-amino-acid amidohydrolase)","acy1 DDB_G0270562","Dictyostelium discoideum (Slime mold)",408
"Q2KHT3","CL16A_HUMAN","Protein CLEC16A (C-type lectin domain family 16 member A)","CLEC16A KIAA0350","Homo sapiens (Human)",1053
"Q5PQA4","NB5R2_XENLA","NADH-cytochrome b5 reductase 2 (b5R.2) (EC 1.6.2.2)","cyb5r2","Xenopus laevis (African clawed frog)",296
"Q96PY6","NEK1_HUMAN","Serine/threonine-protein kinase Nek1 (EC 2.7.11.1) (Never in mitosis A-related kinase 1) (NimA-related protein kinase 1) (Renal carcinoma antigen NY-REN-55)","NEK1 KIAA1901","Homo sapiens (Human)",1258
"Q9WV04","KIF9_MOUSE","Kinesin-like protein KIF9","Kif9","Mus musculus (Mouse)",790
"P24021","NUS1_ASPOR","Nuclease S1 (EC 3.1.30.1) (Deoxyribonuclease S1) (Endonuclease S1) (Single-stranded-nucleate endonuclease)","nucS AO090001000075","Aspergillus oryzae (strain ATCC 42149 / RIB 40) (Yellow koji mold)",287
"Q552M6","ZDHC7_DICDI","Putative ZDHHC-type palmitoyltransferase 7 (EC 2.3.1.225) (Zinc finger DHHC domain-containing protein 7)","DDB_G0276017","Dictyostelium discoideum (Slime mold)",438
"Q8N5J2","MINY1_HUMAN","Ubiquitin carboxyl-terminal hydrolase MINDY-1 (EC 3.4.19.12) (Deubiquitinating enzyme MINDY-1) (Protein FAM63A)","MINDY1 FAM63A KIAA1390","Homo sapiens (Human)",469
"P54868","HMCS2_HUMAN","Hydroxymethylglutaryl-CoA synthase, mitochondrial (HMG-CoA synthase) (EC 2.3.3.10) (3-hydroxy-3-methylglutaryl coenzyme A synthase)","HMGCS2","Homo sapiens (Human)",508
"Q20263","GOT1_CAEEL","Probable Golgi transport protein 1 (Enlarged amphid sheath glia protein 1)","eas-1 F41C3.4","Caenorhabditis elegans",141
"O14744","ANM5_HUMAN","Protein arginine N-methyltransferase 5 (PRMT5) (EC 2.1.1.320) (72 kDa ICln-binding protein) (Histone-arginine N-methyltransferase PRMT5) (Jak-binding protein 1) (Shk1 kinase-binding protein 1 homolog) (SKB1 homolog) (SKB1Hs) [Cleaved into: Protein arginine N-methyltransferase 5, N-terminally processed]","PRMT5 HRMT1L5 IBP72 JBP1 SKB1","Homo sapiens (Human)",637
"Q8CDF7","EXD1_MOUSE","piRNA biogenesis protein EXD1 (Exonuclease 3'-5' domain-containing protein 1) (Exonuclease 3'-5' domain-like-containing protein 1) (Inactive exonuclease EXD1) (mExd1)","Exd1 Exdl1","Mus musculus (Mouse)",570
"Q9ZVH4","CUL3A_ARATH","Cullin-3A (AtCUL3a)","CUL3A CUL3 At1g26830 T2P11.2","Arabidopsis thaliana (Mouse-ear cress)",732
"P79020","PALA_EMENI","pH-response regulator protein palA/RIM20","palA AN4351","Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans)",847
"Q54I86","S35B1_DICDI","Solute carrier family 35 member B1","slc35b1 DDB_G0288929","Dictyostelium discoideum (Slime mold)",392
"O82531","PSB1_PETHY","Proteasome subunit beta type-1 (EC 3.4.25.1) (20S proteasome alpha subunit F) (20S proteasome subunit beta-6)","PBF1","Petunia hybrida (Petunia)",223
"Q28FY0","TILB_XENTR","Protein tilB homolog (Leucine-rich repeat-containing protein 6)","lrrc6 TGas012h22.1","Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)",470
"P0DO17","VIT1_EUCGR","Vacuolar iron transporter 1 (EgVIT1)","VIT1","Eucalyptus grandis (Flooded gum)",249
"Q9ALA2","PNTA_RHOSH","NAD(P) transhydrogenase subunit alpha (EC 7.1.1.1) (Nicotinamide nucleotide transhydrogenase subunit alpha) (Pyridine nucleotide transhydrogenase subunit alpha)","pntA","Rhodobacter sphaeroides (Rhodopseudomonas sphaeroides)",523
"P52285","SKP1A_DICDI","SCF ubiquitin ligase complex protein SKP1a (Glycoprotein FP21 isoform A) [Cleaved into: SCF ubiquitin ligase complex protein SKP1a(4-162); SCF ubiquitin ligase complex protein SKP1a(6-162)]","fpaA fp21A fpa1 fpa1A skp1A DDB_G0269230","Dictyostelium discoideum (Slime mold)",162
"Q54JL0","NDOR1_DICDI","NADPH-dependent diflavin oxidoreductase 1 (EC 1.18.1.-) (NADPH oxidoreductase C) (NADPH-dependent FMN and FAD-containing oxidoreductase)","redC ndor1 DDB_G0287983","Dictyostelium discoideum (Slime mold)",633
"O16140","TOP2_BOMMO","DNA topoisomerase 2 (EC 5.6.2.2) (DNA topoisomerase II) (TOPOII)","TOP2","Bombyx mori (Silk moth)",1547
"F4JLE5","SFH1_ARATH","Phosphatidylinositol/phosphatidylcholine transfer protein SFH1 (Phosphatidylinositol transfer protein 1) (AtPITP1) (Protein CAN OF WORMS1) (Protein SEC FOURTEEN HOMOLOGS 1) (AtSFH1) (Protein SHORT ROOT HAIR 1)","SFH1 COW1 PITP1 SRH1 At4g34580 T4L20.160","Arabidopsis thaliana (Mouse-ear cress)",554
"Q54B82","CSN4_DICDI","COP9 signalosome complex subunit 4 (Signalosome subunit 4)","csn4 DDB_G0293844","Dictyostelium discoideum (Slime mold)",393
"Q6MWS8","PPIL3_NEUCR","Peptidyl-prolyl cis-trans isomerase-like 3 (PPIase) (EC 5.2.1.8) (Rotamase)","cyp-10 B18P7.110 NCU10388","Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)",167
"Q5RFQ0","FCF1_PONAB","rRNA-processing protein FCF1 homolog","FCF1","Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)",198
"Q4G0X9","CCD40_HUMAN","Coiled-coil domain-containing protein 40","CCDC40 KIAA1640","Homo sapiens (Human)",1142
"P32911","SUI1_YEAST","Eukaryotic translation initiation factor eIF-1 (Protein translation factor SUI1)","SUI1 RFR1 YNL244C N0905","Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)",108
"Q8GXX0","ERV1_ARATH","FAD-linked sulfhydryl oxidase ERV1 (AtErv1) (EC 1.8.3.2) (Mitochondrial sulfhydryl oxidase ERV1)","ERV1 At1g49880 F10F5.3","Arabidopsis thaliana (Mouse-ear cress)",191
"Q9LV09","BOB1_ARATH","Protein BOBBER 1","BOB1 At5g53400 MYN8.1","Arabidopsis thaliana (Mouse-ear cress)",304
"Q6C9B1","ATPO_YARLI","ATP synthase subunit 5, mitochondrial (ATP synthase chain 5) (Oligomycin sensitivity conferral protein) (OSCP)","ATP5 OSCP YALI0_D12584g","Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)",214
"Q9CQQ8","LSM7_MOUSE","U6 snRNA-associated Sm-like protein LSm7","Lsm7","Mus musculus (Mouse)",103
"E3WDQ9","PUM2_XENLA","Pumilio homolog 2 (Pumilio-2)","pum2","Xenopus laevis (African clawed frog)",1173
"Q6DGG0","PPID_RAT","Peptidyl-prolyl cis-trans isomerase D (PPIase D) (EC 5.2.1.8) (40 kDa peptidyl-prolyl cis-trans isomerase) (Cyclophilin-40) (CYP-40) (Rotamase D)","Ppid","Rattus norvegicus (Rat)",370
"Q10139","IMG2_SCHPO","54S ribosomal protein img2, mitochondrial (Integrity of mitochondrial genome protein 2)","img2 SPAC3H8.03","Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)",105
"Q9S9Z8","14311_ARATH","14-3-3-like protein GF14 omicron (General regulatory factor 11)","GRF11 At1g34760 F21H2.3","Arabidopsis thaliana (Mouse-ear cress)",252
"F4I0P8","VP35B_ARATH","Vacuolar protein sorting-associated protein 35B (Vesicle protein sorting 35B)","VPS35B At1g75850 T4O12.9","Arabidopsis thaliana (Mouse-ear cress)",790
"P38088","SYG_YEAST","Glycine--tRNA ligase 1, mitochondrial (EC 6.1.1.14) (Diadenosine tetraphosphate synthetase) (Ap4A synthetase) (EC 2.7.7.-) (Glycyl-tRNA synthetase 1) (GlyRS 1) (GlyRS1)","GRS1 YBR121C YBR0917","Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)",690
"Q6CLS8","ARGI_KLULA","Arginase (EC 3.5.3.1)","CAR1 KLLA0F00704g","Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) (Yeast) (Candida sphaerica)",319
"O99256","CYB_PLACH","Cytochrome b (Complex III subunit 3) (Complex III subunit III) (Cytochrome b-c1 complex subunit 3) (Ubiquinol-cytochrome-c reductase complex cytochrome b subunit)","MT-CYB COB CYTB MTCYB","Plasmodium chabaudi",376
"Q8BHN3","GANAB_MOUSE","Neutral alpha-glucosidase AB (EC 3.2.1.207) (Alpha-glucosidase 2) (Glucosidase II subunit alpha)","Ganab G2an Kiaa0088","Mus musculus (Mouse)",944
"C4NZN9","HYAST_HYAAR","Hyastatin","","Hyas araneus (Atlantic lyre crab) (Great spider crab)",131
"P49105","G6PI_MAIZE","Glucose-6-phosphate isomerase, cytosolic (GPI) (EC 5.3.1.9) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI)","PHI1","Zea mays (Maize)",567
"Q9SQN2","FBT3_ARATH","Probable folate-biopterin transporter 3","At1g79710 F19K16.31 F20B17.13","Arabidopsis thaliana (Mouse-ear cress)",497
"O14980","XPO1_HUMAN","Exportin-1 (Exp1) (Chromosome region maintenance 1 protein homolog)","XPO1 CRM1","Homo sapiens (Human)",1071
"P48506","GSH1_HUMAN","Glutamate--cysteine ligase catalytic subunit (EC 6.3.2.2) (GCS heavy chain) (Gamma-ECS) (Gamma-glutamylcysteine synthetase)","GCLC GLCL GLCLC","Homo sapiens (Human)",637
"Q41396","VATE_SPIOL","V-type proton ATPase subunit E (V-ATPase subunit E) (Vacuolar proton pump subunit E)","VATE","Spinacia oleracea (Spinach)",229
"Q59LU0","DBP2_CANAL","ATP-dependent RNA helicase DBP2 (EC 3.6.4.13)","DBP2 CAALFM_CR02530WA CaO19.171 CaO19.7804","Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)",562
"Q9VQX4","PNCB_DROME","Nicotinate phosphoribosyltransferase (NAPRTase) (EC 6.3.4.21)","Naprt CG3714","Drosophila melanogaster (Fruit fly)",555
"Q8T6B7","ABCF2_DICDI","ABC transporter F family member 2","abcF2 DDB_G0284047","Dictyostelium discoideum (Slime mold)",593
"P34140","RAB1B_DICDI","Ras-related protein Rab-1B","rab1B DDB_G0277867","Dictyostelium discoideum (Slime mold)",206
"Q5XHF9","S20A2_XENLA","Sodium-dependent phosphate transporter 2 (Solute carrier family 20 member 2)","slc20a2","Xenopus laevis (African clawed frog)",653
"P80439","COX3_ALLMA","Cytochrome c oxidase subunit 3 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide III)","COX3","Allomyces macrogynus",274
"O77302","RS10_LUMRU","40S ribosomal protein S10","RPS10","Lumbricus rubellus (Humus earthworm)",156
"Q8GWE1","UCH3_ARATH","Ubiquitin carboxyl-terminal hydrolase 3 (EC 3.4.19.12)","UCH3 At4g17510 dl4790c","Arabidopsis thaliana (Mouse-ear cress)",234
"Q8TD30","ALAT2_HUMAN","Alanine aminotransferase 2 (ALT2) (EC 2.6.1.2) (Glutamate pyruvate transaminase 2) (GPT 2) (Glutamic--alanine transaminase 2) (Glutamic--pyruvic transaminase 2)","GPT2 AAT2 ALT2","Homo sapiens (Human)",523
"P54069","BEM46_SCHPO","Protein bem46","bem46 pi020 SPBC32H8.03","Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)",299
"Q5QN75","M2K1_ORYSJ","Mitogen-activated protein kinase kinase 1 (MAP kinase kinase 1) (MAPKK1) (EC 2.7.12.2) (OsMEK1)","MKK1 MEK1 Os01g0510100 LOC_Os01g32660 P0455H03.45 P0520B06.8","Oryza sativa subsp. japonica (Rice)",355
"Q55585","GABD_SYNY3","Probable succinate-semialdehyde dehydrogenase [NADP(+)] (SSDH) (EC 1.2.1.79)","gabD slr0370","Synechocystis sp. (strain PCC 6803 / Kazusa)",454
"P20303","GTR1_PIG","Solute carrier family 2, facilitated glucose transporter member 1 (Glucose transporter type 1, erythrocyte/brain) (GLUT-1)","SLC2A1 GLUT1","Sus scrofa (Pig)",492
"Q9ZQX7","LFG3_ARATH","Protein LIFEGUARD 3 (AtLFG3)","LFG3 At4g02690 T10P11.23","Arabidopsis thaliana (Mouse-ear cress)",248
"Q00973","B4GN1_HUMAN","Beta-1,4 N-acetylgalactosaminyltransferase 1 (EC 2.4.1.92) ((N-acetylneuraminyl)-galactosylglucosylceramide) (GM2/GD2 synthase) (GalNAc-T)","B4GALNT1 GALGT SIAT2","Homo sapiens (Human)",533
"Q0IUU4","CML2_ORYSJ","Putative calmodulin-like protein 2","CML2 Os11g0134400 LOC_Os11g03980 OsJ_031538","Oryza sativa subsp. japonica (Rice)",183
"A4QVI3","DENR_MAGO7","Translation machinery-associated protein 22","TMA22 MGG_04504","Magnaporthe oryzae (strain 70-15 / ATCC MYA-4617 / FGSC 8958) (Rice blast fungus) (Pyricularia oryzae)",201
"A2APC3","TTLL9_MOUSE","Probable tubulin polyglutamylase TTLL9 (EC 6.-.-.-) (Tubulin--tyrosine ligase-like protein 9)","Ttll9","Mus musculus (Mouse)",461
"Q8F641","HPPA_LEPIN","Putative K(+)-stimulated pyrophosphate-energized sodium pump (EC 7.2.3.-) (Membrane-bound sodium-translocating pyrophosphatase) (Pyrophosphate-energized inorganic pyrophosphatase) (Na(+)-PPase)","hppA LA_1471","Leptospira interrogans serogroup Icterohaemorrhagiae serovar Lai (strain 56601)",704
"Q9LV35","AIP12_ARATH","Actin-interacting protein 1-2","AIP1-2 At3g18060 MRC8.4","Arabidopsis thaliana (Mouse-ear cress)",609
"Q9P3U8","YJ95_SCHPO","Uncharacterized RING finger protein C548.05c","SPCC548.05c","Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)",468
"P35728","MPE1_YEAST","Protein MPE1","MPE1 YKL059C YKL316","Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)",441
"Q55GU9","MSH6_DICDI","DNA mismatch repair protein Msh6","msh6 DDB_G0268614","Dictyostelium discoideum (Slime mold)",1260
"Q869E1","DNLI1_DICDI","DNA ligase 1 (EC 6.5.1.1) (DNA ligase I) (Polydeoxyribonucleotide synthase [ATP] 1)","lig1 DDB_G0274493","Dictyostelium discoideum (Slime mold)",1192
"O17732","PYC1_CAEEL","Pyruvate carboxylase 1 (EC 6.4.1.1) (Pyruvic carboxylase 1) (PCB 1)","pyc-1 D2023.2","Caenorhabditis elegans",1175
"Q56YP2","PI5K1_ARATH","Phosphatidylinositol 4-phosphate 5-kinase 1 (AtPIP5K1) (EC 2.7.1.68) (1-phosphatidylinositol 4-phosphate kinase 1) (Diphosphoinositide kinase 1) (PtdIns(4)P-5-kinase 1)","PIP5K1 P5K1 At1g21980 F2E2.1","Arabidopsis thaliana (Mouse-ear cress)",752
"P49643","PRI2_HUMAN","DNA primase large subunit (DNA primase 58 kDa subunit) (p58)","PRIM2 PRIM2A","Homo sapiens (Human)",509
"Q5CKJ0","DRE2_CRYHO","Anamorsin homolog (Fe-S cluster assembly protein DRE2 homolog)","Chro.60473","Cryptosporidium hominis",298
"Q9Z1L5","CA2D3_MOUSE","Voltage-dependent calcium channel subunit alpha-2/delta-3 (Voltage-gated calcium channel subunit alpha-2/delta-3) [Cleaved into: Voltage-dependent calcium channel subunit alpha-2-3; Voltage-dependent calcium channel subunit delta-3]","Cacna2d3","Mus musculus (Mouse)",1091
"Q9URX7","ANM1_SCHPO","Protein arginine N-methyltransferase 1 (EC 2.1.1.-) (Type I protein arginine N-methyltransferase) (Type I PRMT)","rmt1 SPAC890.07c","Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)",340
"P46265","TBB5_ORYSJ","Tubulin beta-5 chain (Beta-5-tubulin)","TUBB5 OSTB-50 R2242 TUB5 Os02g0167300 LOC_Os02g07060 OsJ_05524 OSJNBa0085K21.33","Oryza sativa subsp. japonica (Rice)",447
"P51272","YCF42_PORPU","Putative peroxiredoxin ycf42 (EC 1.11.1.24) (Thioredoxin peroxidase)","ycf42","Porphyra purpurea (Red seaweed) (Ulva purpurea)",199
"Q95M17","CHIA_BOVIN","Acidic mammalian chitinase (AMCase) (EC 3.2.1.14) (Chitin-binding protein b04) (CBPb04)","CHIA","Bos taurus (Bovine)",472
"P79051","RHP16_SCHPO","ATP-dependent helicase rhp16 (EC 3.6.4.-) (DNA repair protein rhp16) (RAD16 homolog)","rhp16 SPCC330.01c SPCC613.13c","Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)",861
"O95363","SYFM_HUMAN","Phenylalanine--tRNA ligase, mitochondrial (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase) (PheRS)","FARS2 FARS1 HSPC320","Homo sapiens (Human)",451
"Q0DBU3","P2C56_ORYSJ","Probable protein phosphatase 2C 56 (OsPP2C56) (EC 3.1.3.16)","Os06g0526800 Os06g0526950 LOC_Os06g33549 OsJ_020684 OSJNBa0043B22.28 P0001B01.8","Oryza sativa subsp. japonica (Rice)",352
"Q9ZVI9","PECT1_ARATH","Ethanolamine-phosphate cytidylyltransferase (EC 2.7.7.14) (CTP:phosphoethanolamine cytidylyltransferase) (Phosphorylethanolamine cytidylyltransferase 1)","PECT1 At2g38670 T6A23.13","Arabidopsis thaliana (Mouse-ear cress)",421
"A8I9E8","CFA45_CHLRE","Cilia- and flagella-associated protein 45 (Flagellum-associated protein 45)","CFAP45 FAP45 CHLREDRAFT_206096","Chlamydomonas reinhardtii (Chlamydomonas smithii)",501
"Q8LPL6","AP2A1_ARATH","AP-2 complex subunit alpha-1 (Adaptor protein complex AP-2 subunit alpha-1) (Adaptor-related protein complex 2 subunit alpha-1) (Alpha-adaptin 1) (Clathrin assembly protein complex 2 alpha large chain 1) (At-a-Ad) (At-alpha-Ad)","ALPHA-ADR At5g22770 MDJ22.19","Arabidopsis thaliana (Mouse-ear cress)",1012
"Q9VBP9","NPL4_DROME","Nuclear protein localization protein 4 homolog","Npl4 CG4673","Drosophila melanogaster (Fruit fly)",652
"Q9DBE8","ALG2_MOUSE","Alpha-1,3/1,6-mannosyltransferase ALG2 (EC 2.4.1.132) (EC 2.4.1.257) (Asparagine-linked glycosylation protein 2 homolog) (GDP-Man:Man(1)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase) (GDP-Man:Man(1)GlcNAc(2)-PP-dolichol mannosyltransferase) (GDP-Man:Man(2)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase)","Alg2 MNCb-5081","Mus musculus (Mouse)",415
"Q8BRC6","CFA91_MOUSE","Cilia- and flagella-associated protein 91 (CFAP91) (AMY-1-associating protein expressed in testis 1 homolog) (AAT-1) (MYCBP/AMY-1-associated testis-expressed protein 1) (Protein MAATS1)","Cfap91 Aat1 Maats1 Spata26","Mus musculus (Mouse)",783
"Q1MTE5","ARL3_DANRE","ADP-ribosylation factor-like protein 3","arl3 sfxn2 si:ch211-208d15.4","Danio rerio (Zebrafish) (Brachydanio rerio)",182
"Q27497","GLC7A_CAEEL","Serine/threonine-protein phosphatase PP1-alpha (EC 3.1.3.16) (CeGLC-7-alpha) (Glc seven-like phosphatase 1)","gsp-1 F29F11.6","Caenorhabditis elegans",329
"Q2KDW6","DNAK_RHIEC","Chaperone protein DnaK (HSP70) (Heat shock 70 kDa protein) (Heat shock protein 70)","dnaK RHE_CH00145","Rhizobium etli (strain CFN 42 / ATCC 51251)",638
"O15905","SODF_BABBO","Superoxide dismutase [Fe] (EC 1.15.1.1) (FeSOD)","SODB","Babesia bovis",199
"Q8BW94","DYH3_MOUSE","Dynein heavy chain 3, axonemal (Axonemal beta dynein heavy chain 3) (Ciliary dynein heavy chain 3)","Dnah3 Dnahc3","Mus musculus (Mouse)",4083
"Q5RJT2","SPB1_RAT","pre-rRNA 2'-O-ribose RNA methyltransferase FTSJ3 (EC 2.1.1.-) (Protein ftsJ homolog 3) (Putative rRNA methyltransferase 3)","Ftsj3","Rattus norvegicus (Rat)",829
"P0CT30","SGT2_USTMA","Small glutamine-rich tetratricopeptide repeat-containing protein 2","UMAG_10205","Ustilago maydis (strain 521 / FGSC 9021) (Corn smut fungus)",352
"Q0WWQ1","ATG3_ARATH","Autophagy-related protein 3 (Autophagy-related E2-like conjugation enzyme ATG3) (AtAPG3) (Protein autophagy 3)","ATG3 APG3 At5g61500 K11J9.3","Arabidopsis thaliana (Mouse-ear cress)",313
"P32604","F26_YEAST","Fructose-2,6-bisphosphatase (EC 3.1.3.46)","FBP26 YJL155C J0575","Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)",452
"Q9LJ87","CDC73_ARATH","Protein CDC73 homolog (Protein PLANT HOMOLOGOUS TO PARAFIBROMIN)","CDC73 PHP At3g22590 F16J14.15","Arabidopsis thaliana (Mouse-ear cress)",415
"Q9NW08","RPC2_HUMAN","DNA-directed RNA polymerase III subunit RPC2 (RNA polymerase III subunit C2) (EC 2.7.7.6) (C128) (DNA-directed RNA polymerase III 127.6 kDa polypeptide) (DNA-directed RNA polymerase III subunit B)","POLR3B","Homo sapiens (Human)",1133
"Q6I587","CDPKF_ORYSJ","Calcium-dependent protein kinase 15 (OsCDPK15) (OsCPK15) (EC 2.7.11.1)","CPK15 Os05g0585500 LOC_Os05g50810 OSJNBa0009C07.9","Oryza sativa subsp. japonica (Rice)",542
"A0CXT3","FEN11_PARTE","Flap endonuclease 1-1 (FEN-1-1) (EC 3.1.-.-) (Flap structure-specific endonuclease 1-1)","FEN1-1 GSPATT00011232001","Paramecium tetraurelia",390
"Q8BKE9","IFT74_MOUSE","Intraflagellar transport protein 74 homolog (Capillary morphogenesis gene 1 protein) (CMG-1) (Coiled-coil domain-containing protein 2)","Ift74 Ccdc2 Cmg1","Mus musculus (Mouse)",600
"Q9VXK6","IF5_DROME","Eukaryotic translation initiation factor 5 (eIF-5)","eIF5 CG9177","Drosophila melanogaster (Fruit fly)",464
"P70704","AT8A1_MOUSE","Phospholipid-transporting ATPase IA (EC 7.6.2.1) (ATPase class I type 8A member 1) (Chromaffin granule ATPase II) (P4-ATPase flippase complex alpha subunit ATP8A1)","Atp8a1 Atpc1","Mus musculus (Mouse)",1164
"Q7KQM6","GGYF1_DROME","GIGYF family protein CG11148","CG11148","Drosophila melanogaster (Fruit fly)",1574
"Q9VXB0","NECAP_DROME","NECAP-like protein CG9132","CG9132","Drosophila melanogaster (Fruit fly)",246
"A4III8","IFT56_XENTR","Intraflagellar transport protein 56 (Tetratricopeptide repeat protein 26) (TPR repeat protein 26)","ttc26 ift56","Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)",554
"Q96LZ3","CANB2_HUMAN","Calcineurin subunit B type 2 (Calcineurin B-like protein) (CBLP) (Calcineurin BII) (CNBII) (PPP3R1-like) (Protein phosphatase 2B regulatory subunit 2) (Protein phosphatase 3 regulatory subunit B beta isoform)","PPP3R2 CBLP PPP3RL","Homo sapiens (Human)",170
"Q641Z6","EHD1_RAT","EH domain-containing protein 1","Ehd1","Rattus norvegicus (Rat)",534
"Q9SH30","HMA5_ARATH","Probable copper-transporting ATPase HMA5 (EC 7.2.2.8) (Probable copper-transporting ATPase 3) (Protein HEAVY METAL ATPASE 5)","HMA5 At1g63440 F2K11.18","Arabidopsis thaliana (Mouse-ear cress)",995
"P68173","SAHH_TOBAC","Adenosylhomocysteinase (AdoHcyase) (EC 3.3.1.1) (Cytokinin-binding protein CBP57) (S-adenosyl-L-homocysteine hydrolase)","SAHH","Nicotiana tabacum (Common tobacco)",485
"P28769","TCPA_ARATH","T-complex protein 1 subunit alpha (TCP-1-alpha) (CCT-alpha) (Chaperonin CCT1)","CCT1 At3g20050 MAL21.5","Arabidopsis thaliana (Mouse-ear cress)",545
"Q6ER94","BAS1_ORYSJ","2-Cys peroxiredoxin BAS1, chloroplastic (EC 1.11.1.24) (Thiol-specific antioxidant protein) (Thioredoxin-dependent peroxiredoxin BAS1)","BAS1 Os02g0537700 LOC_Os02g33450 OsJ_07037 OSJNBa0014M17.2 P0508B05.23","Oryza sativa subsp. japonica (Rice)",261
"Q962Q7","RS23_SPOFR","40S ribosomal protein S23","RpS23","Spodoptera frugiperda (Fall armyworm)",143
"P31209","PABP_SCHPO","Polyadenylate-binding protein, cytoplasmic and nuclear (PABP) (Poly(A)-binding protein) (Polyadenylate tail-binding protein)","pab1 pabp SPAC57A7.04c","Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)",653
"Q1DK38","CAF17_COCIM","Putative transferase CAF17, mitochondrial (EC 2.1.-.-)","CAF17 CIMG_09325","Coccidioides immitis (strain RS) (Valley fever fungus)",425
"Q2S1W0","DCUP_SALRD","Uroporphyrinogen decarboxylase (UPD) (URO-D) (EC 4.1.1.37)","hemE SRU_1702","Salinibacter ruber (strain DSM 13855 / M31)",354
"Q43362","VATL_CHRCT","V-type proton ATPase 16 kDa proteolipid subunit (V-ATPase 16 kDa proteolipid subunit) (Vacuolar proton pump 16 kDa proteolipid subunit)","VAP","Chrysotila carterae (Marine alga) (Syracosphaera carterae)",164
"Q9TXQ1","TNKS1_CAEEL","Poly [ADP-ribose] polymerase tankyrase (EC 2.4.2.30) (Poly ADP-ribose metabolism enzyme 5) (Protein poly-ADP-ribosyltransferase tankyrase) (EC 2.4.2.-)","tank-1 pme-5 ZK1005.1","Caenorhabditis elegans",2276
"O60447","EVI5_HUMAN","Ecotropic viral integration site 5 protein homolog (EVI-5) (Neuroblastoma stage 4S gene protein)","EVI5 NB4S","Homo sapiens (Human)",810
"Q1JQA3","AP3S2_BOVIN","AP-3 complex subunit sigma-2 (AP-3 complex subunit sigma-3B) (Adaptor-related protein complex 3 subunit sigma-2) (Sigma-3B-adaptin) (Sigma3B-adaptin) (Sigma-adaptin 3b)","AP3S2","Bos taurus (Bovine)",193
"Q92845","KIFA3_HUMAN","Kinesin-associated protein 3 (KAP-3) (KAP3) (Smg GDS-associated protein)","KIFAP3 KIF3AP SMAP","Homo sapiens (Human)",792
"Q4G073","TRDMT_RAT","tRNA (cytosine(38)-C(5))-methyltransferase (EC 2.1.1.204) (DNA (cytosine-5)-methyltransferase-like protein 2) (Dnmt2)","Trdmt1 Dnmt2","Rattus norvegicus (Rat)",391
"P0DJ52","RL8_TETTS","60S ribosomal protein L8","RPL8 RPL2 TTHERM_00716240","Tetrahymena thermophila (strain SB210)",264
"P49633","RL40_ACACA","Ubiquitin-60S ribosomal protein L40 (Ubiquitin A-52 residue ribosomal protein fusion product 1) [Cleaved into: Ubiquitin; 60S ribosomal protein L40 (CEP52)]","","Acanthamoeba castellanii (Amoeba)",128
"O04486","RAA2A_ARATH","Ras-related protein RABA2a (AtRABA2a) (Ras-related protein Rab11C) (AtRab11C)","RABA2A RAB11C At1g09630 F21M12.2","Arabidopsis thaliana (Mouse-ear cress)",217
"Q8CTA4","CSD_STAES","Probable cysteine desulfurase (EC 2.8.1.7)","csd SE_0608","Staphylococcus epidermidis (strain ATCC 12228 / FDA PCI 1200)",413
